Collection Name,Collection Summary,Family Name,Family Summary,Family URL,Family Publication Date,Geographies,Document Title,Document URL,Document Content URL,Document Type,Document Content Matches Search Phrase,Category,Languages,Source,Topic,Hazard,Sector,Keyword,Framework,Instrument,Topic,Hazard,Sector,Keyword,Framework,Instrument,Author,Author_Type
,,Decree 1396/2001 on Biodisel Competitiveness Plan,"<p>""The Biodiesel Competitiveness Plan was established through Decree PEN 1.396/2001 to support biofuels and to encourage regions to offer incentives such as tax exemptions for producers, storage and sales operaters of biofuels.</p>
<p>This plan was reinforced and expanded through Law 26.093 on Biofuels Promotion.""</p>
",https://app.climatepolicyradar.org/documents/decree-1396-2001-on-biodisel-competitiveness-plan_f76a,2001-11-04T00:00:00+00:00,ARG,Decree 1396/2001 on Biodisel Competitiveness Plan,https://app.climatepolicyradar.org/documents/decree-1396-2001-on-biodisel-competitiveness-plan_1105,https://www.ecolex.org/details/legislation/decreto-no-13962001-plan-de-competitividad-para-el-combustible-biodiesel-lex-faoc077660/,Decree,n/a,Executive,Spanish,CPR,Mitigation,,Transport,Tax Incentives;Renewables,,Tax incentives|Economic,Mitigation,,Transport,Tax Incentives;Renewables,,Tax incentives|Economic,,
,,Resolution 708/96 on Norms and standards for measuring gas concentrations and particulate matter emitted by chimneys,"<p>Resolution 708/96 adopts the use of international standards for measuring and monitoring emissions from chimneys, but it does not impose emissions limits.</p>
",https://app.climatepolicyradar.org/documents/resolution-708-96-on-norms-and-standards-for-measuring-gas-concentrations-and-particulate-matter-emitted-by-chimneys_b10f,1996-06-27T00:00:00+00:00,ARG,Resolution 708/96 on Norms and standards for measuring gas concentrations and particulate matter emitted by chimneys,https://app.climatepolicyradar.org/documents/resolution-708-96-on-norms-and-standards-for-measuring-gas-concentrations-and-particulate-matter-emitted-by-chimneys_8038,https://servicios.infoleg.gob.ar/infolegInternet/anexos/35000-39999/38379/norma.htm,Resolution,n/a,Executive,Spanish,CPR,Mitigation,,LULUCF;Agriculture,Energía Demand;Energía Efficiency;Renewables;Mitigation,,MRV|Governance,Mitigation,,LULUCF;Agriculture,Energía Demand;Energía Efficiency;Renewables;Mitigation,,MRV|Governance,,
,,Emission Standards for Light-Duty Vehicles,"<p>""As of 1 January 2013, Resolution No 1448/2012 requires that light-duty engines of all fuel types must comply with Euro 5a (European Regulation 715/2007 and 692/2008)."" (http://transportpolicy.net/index.php?title=Argentina:_Light-duty:_Emissions)</p>
",https://app.climatepolicyradar.org/documents/emission-standards-for-light-duty-vehicles_d7d4,2009-02-23T00:00:00+00:00,ARG,Emission Standards for Light-Duty Vehicles,https://app.climatepolicyradar.org/documents/emission-standards-for-light-duty-vehicles_ff3d,https://www.transportpolicy.net/standard/argentina-light-duty-emissions/,Regulation,n/a,Executive,Spanish,CPR,Mitigation,,Transport,Energía Efficiency,,"Standards, obligations and norms|Regulation",Mitigation,,Transport,Energía Efficiency,,"Standards, obligations and norms|Regulation",,
,,Technical analysis of the fourth biennial update report of Argentina submitted on 31 December 2021. Summary report by the team of technical experts,"<p>Technical analysis of the fourth biennial update report of Argentina submitted on 31 December 2021. Summary report by the team of technical experts, Technical Analysis Summary Report from UNFCCC Secretariat in 2023</p>
",https://app.climatepolicyradar.org/documents/technical-analysis-of-the-fourth-biennial-update-report-of-argentina-submitted-on-31-december-2021-summary-report-by-the-team-of-technical-experts_41d3,2023-01-17T00:00:00+00:00,ARG,Technical analysis of the fourth biennial update report of Argentina submitted on 31 December 2021. Summary report by the team of technical experts,https://app.climatepolicyradar.org/documents/technical-analysis-of-the-fourth-biennial-update-report-of-argentina-submitted-on-31-december-2021-summary-report-by-the-team-of-technical-experts_cc8b,https://cdn.climatepolicyradar.org/navigator/XAA/1900/technical-analysis-of-the-fourth-biennial-update-report-of-argentina-submitted-on-31-december-2021-summary-report-by-the-team-of-technical-experts_14ff85d53ce1c5a1b2611fc32891c20b.pdf,Technical Analysis Summary Report,n/a,UNFCCC,English,UNFCCC,,,,,,,,,,,,,UNFCCC Secretariat,Non-Party
,,Technical analysis of the third biennial update report of Argentina submitted on 27 November 2019. Summary report by the team of technical experts,"<p>Technical analysis of the third biennial update report of Argentina submitted on 27 November 2019. Summary report by the team of technical experts, Technical Analysis Summary Report from UNFCCC Secretariat in 2020</p>
",https://app.climatepolicyradar.org/documents/technical-analysis-of-the-third-biennial-update-report-of-argentina-submitted-on-27-november-2019-summary-report-by-the-team-of-technical-experts_3a3a,2020-09-16T00:00:00+00:00,ARG,Technical analysis of the third biennial update report of Argentina submitted on 27 November 2019. Summary report by the team of technical experts,https://app.climatepolicyradar.org/documents/technical-analysis-of-the-third-biennial-update-report-of-argentina-submitted-on-27-november-2019-summary-report-by-the-team-of-technical-experts_652d,https://cdn.climatepolicyradar.org/navigator/XAA/1900/technical-analysis-of-the-third-biennial-update-report-of-argentina-submitted-on-27-november-2019-summary-report-by-the-team-of-technical-experts_b514b56dcfd9f5a55543806beead0fc1.pdf,Technical Analysis Summary Report,n/a,UNFCCC,English,UNFCCC,,,,,,,,,,,,,UNFCCC Secretariat,Non-Party
,,"Technical report on the technical analysis of the technical annex to the fourth biennial update report of Argentina submitted in accordance with decision 14/CP.19, paragraph 7, on 31 December 2021","<p>Technical report on the technical analysis of the technical annex to the fourth biennial update report of Argentina submitted in accordance with decision 14/CP.19, paragraph 7, on 31 December 2021, Technical Analysis Technical Report from UNFCCC Secretariat in 2023</p>
",https://app.climatepolicyradar.org/documents/technical-report-on-the-technical-analysis-of-the-technical-annex-to-the-fourth-biennial-update-report-of-argentina-submitted-in-accordance-with-decision-14-cp-19-paragraph-7-on-31-december-2021_8759,2023-01-09T00:00:00+00:00,ARG,"Technical report on the technical analysis of the technical annex to the fourth biennial update report of Argentina submitted in accordance with decision 14/CP.19, paragraph 7, on 31 December 2021",https://app.climatepolicyradar.org/documents/technical-report-on-the-technical-analysis-of-the-technical-annex-to-the-fourth-biennial-update-report-of-argentina-submitted-in-accordance-with-decision-14-cp-19-paragraph-7-on-31-december-2021_ba59,https://cdn.climatepolicyradar.org/navigator/XAA/1900/technical-report-on-the-technical-analysis-of-the-technical-annex-to-the-fourth-biennial-update-report-of-argentina-submitted-in-accordance-with-decision-14-cp-19-paragraph-7-on-31-december-2021_3a32b07625e15b4a9d3fc9893544f9c7.pdf,Technical Analysis Technical Report,n/a,UNFCCC,English,UNFCCC,,,,,,,,,,,,,UNFCCC Secretariat,Non-Party
Argentina's Nationally Determined Contributions,,Argentina First NDC (Archived),"Argentina First NDC (Archived), Nationally Determined Contribution from Argentina in 2016",https://app.climatepolicyradar.org/documents/argentina-first-ndc-archived_ea61,2016-11-17T00:00:00+00:00,ARG,Argentina First NDC(Archived),https://app.climatepolicyradar.org/documents/argentina-first-ndc-archived_3d8e,https://cdn.climatepolicyradar.org/navigator/ARG/1900/argentina-first-ndc-archived_62a3b1dda77e4541adf57891cbcc2ea1.pdf,Nationally Determined Contribution,n/a,UNFCCC,English,UNFCCC,,,,,,,,,,,,,Argentina,Party
Argentina's Nationally Determined Contributions,,Argentina First NDC (Archived),"Argentina First NDC (Archived), Nationally Determined Contribution from Argentina in 2016",https://app.climatepolicyradar.org/documents/argentina-first-ndc-archived_ea61,2016-11-17T00:00:00+00:00,ARG,Argentina First NDC (Archived),https://app.climatepolicyradar.org/documents/argentina-first-ndc-archived_496b,https://cdn.climatepolicyradar.org/navigator/ARG/1900/argentina-first-ndc-archived_c5a597a25dfd0c851c9968a53cdb95ad.pdf,Nationally Determined Contribution,n/a,UNFCCC,Spanish,UNFCCC,,,,,,,,,,,,,Argentina,Party
Argentina's Nationally Determined Contributions,,Argentina Second NDC (Updated submission),"Argentina Second NDC (Updated submission), Nationally Determined Contribution from Argentina in 2021",https://app.climatepolicyradar.org/documents/argentina-second-ndc-updated-submission_c2f2,2021-11-02T00:00:00+00:00,ARG,Argentina Second NDC (Updated submission),https://app.climatepolicyradar.org/documents/argentina-second-ndc-updated-submission_d6b5,https://cdn.climatepolicyradar.org/navigator/ARG/1900/argentina-second-ndc-updated-submission_48d391e8d60ffa603e5d741d8de5d2b0.pdf,Nationally Determined Contribution,n/a,UNFCCC,Spanish,UNFCCC,,,,,,,,,,,,,Argentina,Party
Argentina's Nationally Determined Contributions,,Argentina Second NDC (Updated submission),"Argentina Second NDC (Updated submission), Nationally Determined Contribution from Argentina in 2021",https://app.climatepolicyradar.org/documents/argentina-second-ndc-updated-submission_c2f2,2021-11-02T00:00:00+00:00,ARG,Argentina Second NDC (Archived),https://app.climatepolicyradar.org/documents/argentina-second-ndc-archived_095a,https://cdn.climatepolicyradar.org/navigator/ARG/1900/argentina-second-ndc-updated-submission_e407513237709ea33f5308da0f3abfbc.pdf,Nationally Determined Contribution,n/a,UNFCCC,Spanish,UNFCCC,,,,,,,,,,,,,Argentina,Party
Argentina's Biennial Update Reports,,Argentina. Biennial update report (BUR). BUR 3.,"Argentina. Biennial update report (BUR). BUR 3., Biennial Update Report from Argentina in 2019",https://app.climatepolicyradar.org/documents/argentina-biennial-update-report-bur-bur-3_e09b,2019-11-27T00:00:00+00:00,ARG,Argentina. Biennial update report (BUR). BUR 3.,https://app.climatepolicyradar.org/documents/argentina-biennial-update-report-bur-bur-3_8cd7,https://cdn.climatepolicyradar.org/navigator/ARG/1900/argentina-biennial-update-report-bur-bur-3_eeb69f674b7293a0dde43382e27759be.pdf,Biennial Update Report,n/a,UNFCCC,Spanish,UNFCCC,,,,,,,,,,,,,Argentina,Party
Argentina's Biennial Update Reports,,Argentina. Biennial update report (BUR). BUR 3.,"Argentina. Biennial update report (BUR). BUR 3., Biennial Update Report from Argentina in 2019",https://app.climatepolicyradar.org/documents/argentina-biennial-update-report-bur-bur-3_e09b,2019-11-27T00:00:00+00:00,ARG,Argentina. Biennial update report (BUR). BUR 3 - Technical Annex,https://app.climatepolicyradar.org/documents/argentina-biennial-update-report-bur-bur-3-technical-annex_d181,https://cdn.climatepolicyradar.org/navigator/ARG/1900/argentina-biennial-update-report-bur-bur-3_14337681f601a526942c48088ec63c97.pdf,Biennial Update Report,n/a,UNFCCC,Spanish,UNFCCC,,,,,,,,,,,,,Argentina,Party
Argentina's Biennial Update Reports,,Argentina. Biennial update report (BUR). BUR 3. National inventory report.,"Argentina. Biennial update report (BUR). BUR 3. National inventory report., National Inventory Report from Argentina in 2020",https://app.climatepolicyradar.org/documents/argentina-biennial-update-report-bur-bur-3-national-inventory-report_4267,2020-03-03T00:00:00+00:00,ARG,Argentina. Biennial update report (BUR). BUR 3. National inventory report.,https://app.climatepolicyradar.org/documents/argentina-biennial-update-report-bur-bur-3-national-inventory-report_19b6,https://cdn.climatepolicyradar.org/navigator/ARG/1900/argentina-biennial-update-report-bur-bur-3-national-inventory-report_e692af6adea78f9f59e68321e1bf4147.pdf,National Inventory Report,n/a,UNFCCC,Spanish,UNFCCC,,,,,,,,,,,,,Argentina,Party
Argentina's Biennial Update Reports,,Argentina. Biennial update report (BUR). BUR 4.,"Argentina. Biennial update report (BUR). BUR 4., Biennial Update Report from Argentina in 2022",https://app.climatepolicyradar.org/documents/argentina-biennial-update-report-bur-bur-4_9c17,2022-01-04T00:00:00+00:00,ARG,Argentina. Biennial update report (BUR). BUR 4 - Technical Annex,https://app.climatepolicyradar.org/documents/argentina-biennial-update-report-bur-bur-4-technical-annex_f38f,https://cdn.climatepolicyradar.org/navigator/ARG/2022/argentina-biennial-update-report-bur-bur-4_c402de7970d5e28304401c06e162d9d5.pdf,Biennial Update Report,n/a,UNFCCC,Spanish,UNFCCC,,,,,,,,,,,,,Argentina,Party
Argentina's Biennial Update Reports,,Argentina. Biennial update report (BUR). BUR 4.,"Argentina. Biennial update report (BUR). BUR 4., Biennial Update Report from Argentina in 2022",https://app.climatepolicyradar.org/documents/argentina-biennial-update-report-bur-bur-4_9c17,2022-01-04T00:00:00+00:00,ARG,Argentina. Biennial update report (BUR). BUR 4.,https://app.climatepolicyradar.org/documents/argentina-biennial-update-report-bur-bur-4_1173,https://cdn.climatepolicyradar.org/navigator/ARG/1900/argentina-biennial-update-report-bur-bur-4_ec97fa749da41400a6f587d7869a853f.pdf,Biennial Update Report,n/a,UNFCCC,Spanish,UNFCCC,,,,,,,,,,,,,Argentina,Party
Argentina's Biennial Update Reports,,Argentina. Biennial update report (BUR). BUR 4.,"Argentina. Biennial update report (BUR). BUR 4., Biennial Update Report from Argentina in 2022",https://app.climatepolicyradar.org/documents/argentina-biennial-update-report-bur-bur-4_9c17,2022-01-04T00:00:00+00:00,ARG,Argentina. Biennial update report (BUR). BUR 4.,https://app.climatepolicyradar.org/documents/argentina-biennial-update-report-bur-bur-4_bb7c,https://cdn.climatepolicyradar.org/navigator/ARG/1900/argentina-biennial-update-report-bur-bur-4_d0417c3033021b478430218a07a4e0e2.pdf,Biennial Update Report,n/a,UNFCCC,Spanish,UNFCCC,,,,,,,,,,,,,Argentina,Party
Argentina's Biennial Update Reports,,Argentina. Biennial update report (BUR). BUR 4. National inventory report.,"Argentina. Biennial update report (BUR). BUR 4. National inventory report., National Inventory Report from Argentina in 2022",https://app.climatepolicyradar.org/documents/argentina-biennial-update-report-bur-bur-4-national-inventory-report_4498,2022-03-12T00:00:00+00:00,ARG,Argentina. Biennial update report (BUR). BUR 4. National inventory report.,https://app.climatepolicyradar.org/documents/argentina-biennial-update-report-bur-bur-4-national-inventory-report_3f0e,https://cdn.climatepolicyradar.org/navigator/ARG/1900/argentina-biennial-update-report-bur-bur-4-national-inventory-report_bb76dbb6a53d7011d76fafdc9d6f1891.pdf,National Inventory Report,n/a,UNFCCC,Spanish,UNFCCC,,,,,,,,,,,,,Argentina,Party
Argentina's National Communications,,Argentina. National Communication (NC). NC 3.,"Argentina. National Communication (NC). NC 3., National Communication from Argentina in 2015",https://app.climatepolicyradar.org/documents/argentina-national-communication-nc-nc-3_3c62,2015-12-09T00:00:00+00:00,ARG,Argentina. National Communication (NC). NC 3.,https://app.climatepolicyradar.org/documents/argentina-national-communication-nc-nc-3_7b09,https://cdn.climatepolicyradar.org/navigator/ARG/2015/argentina-national-communication-nc-nc-3_3b8d1ce5604c8f935517532d8d8e3e60.pdf,National Communication,n/a,UNFCCC,Spanish,UNFCCC,,,,,,,,,,,,,Argentina,Party
Argentina's Biennial Update Reports,,Argentina. Biennial update report (BUR). BUR 5. National inventory report.,"<p></p>
",https://app.climatepolicyradar.org/documents/argentina-biennial-update-report-bur-bur-5-national-inventory-report_8cd3,2024-03-15T00:00:00+00:00,ARG,Quinto Informe Bienal de Actualizacion - Informe Nacional de Inventario de la Republica Argentina,https://app.climatepolicyradar.org/documents/quinto-informe-bienal-de-actualizacion-informe-nacional-de-inventario-de-la-republica-argentina_d805,https://cdn.climatepolicyradar.org/navigator/ARG/2024/argentina-biennial-update-report-bur-bur-5-national-inventory-report_10656ac553d95029a288a3154769f261.pdf,National Inventory Report,n/a,UNFCCC,Spanish,UNFCCC,,,,,,,,,,,,,Argentina,Party
Argentina's Biennial Update Reports,,Argentina Biennial Transparency Report. BTR1,<p>Argentina Biennial Transparency Report. BTR1</p>,https://app.climatepolicyradar.org/documents/argentina-biennial-transparency-report-btr1_19b7,2024-12-19T00:00:00+00:00,ARG,Argentina Biennial Transparency Report. BTR1. CTF-NDC,https://app.climatepolicyradar.org/documents/argentina-biennial-transparency-report-btr1-ctf-ndc_bf37,https://unfccc.int/documents/645006,Biennial Transparency Report,n/a,UNFCCC,Spanish,UNFCCC,,,,,,,,,,,,,Argentina,Party
Argentina's Biennial Update Reports,,Argentina Biennial Transparency Report. BTR1,<p>Argentina Biennial Transparency Report. BTR1</p>,https://app.climatepolicyradar.org/documents/argentina-biennial-transparency-report-btr1_19b7,2024-12-19T00:00:00+00:00,ARG,Argentina Biennial Transparency Report. BTR1,https://app.climatepolicyradar.org/documents/argentina-biennial-transparency-report-btr1_0b0f,https://cdn.climatepolicyradar.org/navigator/ARG/2024/argentina-biennial-transparency-report-btr1_fa161ed6fc7988380ce856c505aac4ab.pdf,Biennial Transparency Report,n/a,UNFCCC,Spanish,UNFCCC,,,,,,,,,,,,,Argentina,Party
